year,state,Auto,Bus,Truck,Motorcycle
1928,Washington,345935,556,61417,2737
1928,West Virginia,216043,674,37042,1479
1928,Wisconsin,647306,547,98400,2866
1928,Wyoming,48960,0,7977,128
1929,Alabama,247814,1315,38689,704
1929,Alaska,0,0,0,0
1929,Arizona,98661,175,11901,439
1929,Arkansas,193349,300,40627,431
1929,California,1764218,0,227384,10180
1929,Colorado,260054,0,45592,1142
1929,Connecticut,278702,343,51642,2584
1929,Delaware,44909,0,10731,308
1929,District of Columbia,135845,500,17733,1192
1929,Florida,289532,0,59316,1308
1929,Georgia,311255,0,50821,1138
1929,Hawaii,0,0,0,0
1929,Idaho,104634,150,14611,370
1929,Illinois,1412506,0,209869,6055
1929,Indiana,741827,6462,123284,2983
1929,Iowa,716062,0,72171,1726
1929,Kansas,508331,0,75675,1238
1929,Kentucky,298800,586,35750,727
1929,Louisiana,235998,0,48108,600
1929,Maine,148269,120,37772,1340
1929,Maryland,281240,600,40560,1986
1929,Massachusetts,718256,1988,101832,5568
1929,Michigan,1221683,0,182436,3985
1929,Minnesota,631105,361,101803,1900
1929,Mississippi,217854,0,33913,204
1929,Missouri,672290,0,88039,1898
1929,Montana,115771,0,26295,234
1929,Nebraska,376117,221,43272,972
1929,Nevada,25501,0,6980,95
1929,New Hampshire,95010,0,14365,1263
1929,New Jersey,697164,5361,137867,7464
1929,New Mexico,67253,72,12221,207
1929,New York,1923736,4536,355301,14840
1929,North Carolina,432616,193,58447,1298
1929,North Dakota,162217,0,26281,230
1929,Ohio,1563766,0,215757,9180
1929,Oklahoma,511537,0,63175,1196
1929,Oregon,236668,1037,33226,1796
1929,Pennsylvania,1519387,2522,225499,13375
1929,Rhode Island,113798,616,20589,1024
1929,South Carolina,205237,1133,27445,451
1929,South Dakota,181794,0,23682,207
1929,Tennessee,331282,1183,34691,1203
1929,Texas,1166765,1264,191170,4016
1929,Utah,95905,0,17818,525
1929,Vermont,84433,150,8863,487
1929,Virginia,329587,741,61795,2284
1929,Washington,380773,826,66207,2583
1929,West Virginia,229048,704,41653,1517
1929,Wisconsin,690232,540,107826,2851
1929,Wyoming,52106,0,9245,92
